name,price,image_url
2.5kg Bulk 41% Milk Hot Chocolate Drops,0.50,https://cdn.shopify.com/s/files/1/1991/9591/products/hotchoc.jpg?v=1597917174
2.5kg Bulk 61% Dark Hot Chocolate Drops,0.50,https://cdn.shopify.com/s/files/1/1991/9591/products/hotchoc_14cccb25-cfbb-444c-8493-063d3f9f5e00.jpg?v=1587891791
41% Milk Hot Chocolate Drops,0.09,https://cdn.shopify.com/s/files/1/1991/9591/products/41_Colombian_-_Milk_Hot_Chocolate_Drops_250g.jpg?v=1579795488
61% Dark Hot Chocolate Drops,0.09,https://cdn.shopify.com/s/files/1/1991/9591/products/61_Colombian_-_Dark_Hot_Chocolate_Drops_250g.jpg?v=1579795516
Almost Perfect,0.07,https://cdn.shopify.com/s/files/1/1991/9591/products/factoryseconds.png?v=1653904397
Assorted Chocolate Malt Balls,0.09,https://cdn.shopify.com/s/files/1/1991/9591/products/assorted-chocolate-malt-balls.jpg?v=1668446206
Blonde Caramel,0.05,https://cdn.shopify.com/s/files/1/1991/9591/products/blonde-caramel-chocolate-bar.jpg?v=1663234079
Blonde Chocolate Honeycomb - Bag,0.09,https://cdn.shopify.com/s/files/1/1991/9591/products/Blondie_29ba3a8f-f866-495b-b94e-7b6b70754e4f.jpg?v=1571563169
Blonde Chocolate Malt Balls,0.09,https://cdn.shopify.com/s/files/1/1991/9591/products/blonde-chocolate-malt-balls_8955aba2-29a7-46a6-bf74-d236dff33535.jpg?v=1668446184
Blonde Chocolate Truffles,0.20,https://cdn.shopify.com/s/files/1/1991/9591/products/choc_soc_nov20_hamps122585.jpg?v=1606385583
Bulk 41% Milk Hot Chocolate Drops 750 grams,0.17,https://cdn.shopify.com/s/files/1/1991/9591/products/milkdrops.jpg?v=1615636079
Bulk 61% Dark Hot Chocolate Drops 750 grams,0.17,https://cdn.shopify.com/s/files/1/1991/9591/products/darkdrops.jpg?v=1615635793
Caramelised Milk,0.05,https://cdn.shopify.com/s/files/1/1991/9591/products/caramelised-milk-chocolate-bar.jpg?v=1663234102
Chai Caramel Latte,0.05,https://cdn.shopify.com/s/files/1/1991/9591/files/chai-latte-caramel.jpg?v=1690706388
Chocolate Caramelised Pecan Nuts,0.09,https://cdn.shopify.com/s/files/1/1991/9591/products/milk-chocolate-caramelised-pecans.jpg?v=1606575599
